KUCAT ID,Exam Type,CBT Score,Program Applied
KUCAT_2019_1611,KUCAT-PCB,618,BTech in Biotechnology
KUCAT_2019_1612,KUCAT-PCM,870,BE in Computer Engineering
KUCAT_2019_1613,KUCAT-PCB,818,Bachelor of Pharmacy
KUCAT_2019_1614,KUCAT-PCB,516,Bachelor of Pharmacy
KUCAT_2019_1615,KUCAT-PCM,1014,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1616,KUCAT-PCM,690,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1617,KUCAT-PCM,753,BArch in Architecture
KUCAT_2019_1618,KUCAT-PCM,667,BTech in Environmental Engineering
KUCAT_2019_1619,KUCAT-PCM,611,BE in Computer Engineering
KUCAT_2019_1620,KUCAT-PCM,407,BE in Computer Engineering
KUCAT_2019_1621,KUCAT-PCM,850,BE in Mechanical Engineering(Design and Manufacturing)
KUCAT_2019_1622,KUCAT-PCM,678,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1623,KUCAT-PCM,698,BE in Chemical Engineering
KUCAT_2019_1624,KUCAT-PCM,589,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1625,KUCAT-PCM,542,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1626,KUCAT-PCB,520,Bachelor of Pharmacy
KUCAT_2019_1627,KUCAT-PCM,484,BE in Computer Engineering
KUCAT_2019_1584,KUCAT-PCM,695,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1585,KUCAT-PCM,938,BE in Computer Engineering
KUCAT_2019_1586,KUCAT-PCB,552,Bachelor of Pharmacy
KUCAT_2019_1587,KUCAT-PCB,0,Bachelor of Pharmacy
KUCAT_2019_1588,KUCAT-PCB,557,Bachelor of Pharmacy
KUCAT_2019_1589,KUCAT-PCB,548,BTech in Biotechnology
KUCAT_2019_1590,KUCAT-PCM,0,BE in Computer Engineering
KUCAT_2019_1591,KUCAT-PCB,663,Bachelor of Pharmacy
KUCAT_2019_1592,KUCAT-PCM,565,BE in Computer Engineering
KUCAT_2019_1593,KUCAT-PCB,564,Bachelor of Pharmacy
KUCAT_2019_1594,KUCAT-PCM,509,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1595,KUCAT-PCB,599,Bachelor of Pharmacy
KUCAT_2019_1596,KUCAT-PCM,1001,BE in Computer Engineering
KUCAT_2019_1597,KUCAT-PCM,640,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1598,KUCAT-PCM,641,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1599,KUCAT-PCM,670,BE in Computer Engineering
KUCAT_2019_1600,KUCAT-PCM,1000,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1601,KUCAT-PCM,1137,BE in Mechanical Engineering(Design and Manufacturing)
KUCAT_2019_1602,KUCAT-PCM,751,BE in Computer Engineering
KUCAT_2019_1603,KUCAT-PCM,1134,BArch in Architecture
KUCAT_2019_1604,KUCAT-PCM,951,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1605,KUCAT-PCM,817,BE in Computer Engineering
KUCAT_2019_1606,KUCAT-PCM,1140,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1607,KUCAT-PCM,729,BE in Computer Engineering
KUCAT_2019_1608,KUCAT-PCM,1106,BE in Computer Engineering
KUCAT_2019_1609,KUCAT-PCM,425,BE in Computer Engineering
KUCAT_2019_1610,KUCAT-PCM,566,BArch in Architecture
KUCAT_2019_1611,KUCAT-PCB,618,BTech in Biotechnology
KUCAT_2019_1612,KUCAT-PCM,870,BE in Computer Engineering
KUCAT_2019_1613,KUCAT-PCB,818,Bachelor of Pharmacy
KUCAT_2019_1614,KUCAT-PCB,516,Bachelor of Pharmacy
KUCAT_2019_1615,KUCAT-PCM,1014,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1616,KUCAT-PCM,690,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1617,KUCAT-PCM,753,BArch in Architecture
KUCAT_2019_1618,KUCAT-PCM,667,BTech in Environmental Engineering
KUCAT_2019_1619,KUCAT-PCM,611,BE in Computer Engineering
KUCAT_2019_1620,KUCAT-PCM,407,BE in Computer Engineering
KUCAT_2019_1621,KUCAT-PCM,850,BE in Mechanical Engineering(Design and Manufacturing)
KUCAT_2019_1622,KUCAT-PCM,678,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1623,KUCAT-PCM,698,BE in Chemical Engineering
KUCAT_2019_1624,KUCAT-PCM,589,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1625,KUCAT-PCM,542,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1626,KUCAT-PCB,520,Bachelor of Pharmacy
KUCAT_2019_1627,KUCAT-PCM,484,BE in Computer Engineering
KUCAT_2019_1628,KUCAT-PCM,685,BE in Computer Engineering
KUCAT_2019_1629,KUCAT-PCM,649,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1630,KUCAT-PCM,447,BE in Computer Engineering
KUCAT_2019_1631,KUCAT-PCM,688,BE in Computer Engineering
KUCAT_2019_1632,KUCAT-PCM,787,BE in Computer Engineering
KUCAT_2019_1633,KUCAT-PCM,816,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1634,KUCAT-PCM,443,BArch in Architecture
KUCAT_2019_1635,KUCAT-PCM,785,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1636,KUCAT-PCM,525,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1637,KUCAT-PCM,901,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1638,KUCAT-PCM,628,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1639,KUCAT-PCM,671,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1640,KUCAT-PCM,709,BArch in Architecture
KUCAT_2019_1641,KUCAT-PCM,717,BE in Computer Engineering
KUCAT_2019_1642,KUCAT-PCM,877,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1643,KUCAT-PCM,537,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1644,KUCAT-PCM,595,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1645,KUCAT-PCM,586,BE in Mechanical Engineering(Hydropower)
KUCAT_2019_1646,KUCAT-PCM,1017,BE in Computer Engineering
KUCAT_2019_1647,KUCAT-PCM,463,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1648,KUCAT-PCM,498,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1649,KUCAT-PCM,954,BE in Computer Engineering
KUCAT_2019_1650,KUCAT-PCM,749,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1651,KUCAT-PCM,930,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1652,KUCAT-PCM,1153,BE in Computer Engineering
KUCAT_2019_1653,KUCAT-PCM,1254,BE in Computer Engineering
KUCAT_2019_1654,KUCAT-PCB,936,Bachelor of Pharmacy
KUCAT_2019_1655,KUCAT-PCM,887,BE in Computer Engineering
KUCAT_2019_1656,KUCAT-PCM,789,BE in Computer Engineering
KUCAT_2019_1657,KUCAT-PCM,953,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1658,KUCAT-PCM,888,BE in Computer Engineering
KUCAT_2019_1659,KUCAT-PCM,592,BE in Computer Engineering
KUCAT_2019_1660,KUCAT-PCM,632,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1661,KUCAT-PCB,726,Bachelor of Pharmacy
KUCAT_2019_1662,KUCAT-PCM,762,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1663,KUCAT-PCM,872,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1664,KUCAT-PCM,859,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1665,KUCAT-PCM,609,BArch in Architecture
KUCAT_2019_1666,KUCAT-PCM,647,BE in Geomatics Engineering
KUCAT_2019_1667,KUCAT-PCM,552,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1668,KUCAT-PCM,551,BE in Computer Engineering
KUCAT_2019_1669,KUCAT-PCM,485,BSc In Computer Science
KUCAT_2019_1670,KUCAT-PCM,684,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1671,KUCAT-PCM,506,BE in Computer Engineering
KUCAT_2019_1628,KUCAT-PCM,685,BE in Computer Engineering
